charge_configuration,system_of_units,blast_parameter,function,variable,coefficient_position,coefficients,lower_range,upper_range,units
free_air,imperial,arrival_time,1,U,0,-0.805017341,0.134,100,ms
free_air,imperial,arrival_time,1,U,1,1.374070438,0.134,100,ms
free_air,metric,arrival_time,1,U,0,-0.253273112,0.0531,40,ms
free_air,metric,arrival_time,1,U,1,1.374070438,0.0531,40,ms
hemispherical,imperial,arrival_time,1,U,0,-0.755684473,0.17,100,ms
hemispherical,imperial,arrival_time,1,U,1,1.377842236,0.17,100,ms
hemispherical,metric,arrival_time,1,U,0,-0.20242571617800,0.0674,40,ms
hemispherical,metric,arrival_time,1,U,1,1.37784223635000,0.0674,40,ms
free_air,imperial,arrival_time,1,Y,0,-0.042373394,0.134,100,ms
free_air,imperial,arrival_time,1,Y,1,1.364568712,0.134,100,ms
free_air,metric,arrival_time,1,Y,0,0.072070779,0.0531,40,ms
free_air,metric,arrival_time,1,Y,1,1.364568712,0.0531,40,ms
free_air,imperial,arrival_time,1,Y,2,-0.057003569,0.134,100,ms
free_air,imperial,arrival_time,1,Y,3,-0.182832225,0.134,100,ms
free_air,metric,arrival_time,1,Y,2,-0.057003569,0.0531,40,ms
free_air,metric,arrival_time,1,Y,3,-0.182832225,0.0531,40,ms
free_air,imperial,arrival_time,1,Y,4,0.011885144,0.134,100,ms
free_air,imperial,arrival_time,1,Y,5,0.043264869,0.134,100,ms
free_air,metric,arrival_time,1,Y,4,0.011885144,0.0531,40,ms
free_air,metric,arrival_time,1,Y,5,0.043264869,0.0531,40,ms
free_air,imperial,arrival_time,1,Y,6,-0.000799737,0.134,100,ms
free_air,imperial,arrival_time,1,Y,7,-0.004360736,0.134,100,ms
free_air,metric,arrival_time,1,Y,6,-0.000799737,0.0531,40,ms
free_air,metric,arrival_time,1,Y,7,-0.004360736,0.0531,40,ms
hemispherical,imperial,arrival_time,1,Y,0,-0.173607601,0.17,100,ms
hemispherical,imperial,arrival_time,1,Y,1,1.357064963,0.17,100,ms
hemispherical,metric,arrival_time,1,Y,0,-0.05916342880460,0.0674,40,ms
hemispherical,metric,arrival_time,1,Y,1,1.35706496258000,0.0674,40,ms
hemispherical,imperial,arrival_time,1,Y,2,0.052492799,0.17,100,ms
hemispherical,imperial,arrival_time,1,Y,3,-0.196563954,0.17,100,ms
hemispherical,metric,arrival_time,1,Y,2,0.05249279864500,0.0674,40,ms
hemispherical,metric,arrival_time,1,Y,3,-0.19656395408600,0.0674,40,ms
hemispherical,imperial,arrival_time,1,Y,4,-0.060177005,0.17,100,ms
hemispherical,imperial,arrival_time,1,Y,5,0.069636027,0.17,100,ms
hemispherical,metric,arrival_time,1,Y,4,-0.06017700522880,0.0674,40,ms
hemispherical,metric,arrival_time,1,Y,5,0.06963602708910,0.0674,40,ms
hemispherical,imperial,arrival_time,1,Y,6,0.021529749,0.17,100,ms
hemispherical,imperial,arrival_time,1,Y,7,-0.016165893,0.17,100,ms
hemispherical,metric,arrival_time,1,Y,6,0.02152974900920,0.0674,40,ms
hemispherical,metric,arrival_time,1,Y,7,-0.01616589307850,0.0674,40,ms
hemispherical,imperial,arrival_time,1,Y,8,-0.00232532,0.17,100,ms
hemispherical,imperial,arrival_time,1,Y,9,0.001477521,0.17,100,ms
hemispherical,metric,arrival_time,1,Y,8,-0.00232531970294,0.0674,40,ms
hemispherical,metric,arrival_time,1,Y,9,0.00147752067524,0.0674,40,ms
free_air,imperial,incident_impulse,1,U,0,1.045048777,0.134,2,psi-ms
free_air,imperial,incident_impulse,1,U,1,3.242990665,0.134,2,psi-ms
free_air,metric,incident_impulse,1,U,0,2.347239214,0.0531,0.792,kPa-ms
free_air,metric,incident_impulse,1,U,1,-0.443749378,0.0531,0.792,kPa-ms
free_air,imperial,incident_impulse,2,U,0,-2.679125195,2,100,psi-ms
free_air,imperial,incident_impulse,2,U,1,2.306292318,2,100,psi-ms
free_air,metric,incident_impulse,2,U,0,-1.753056603,0.792,40,kPa-ms
free_air,metric,incident_impulse,2,U,1,2.306292318,0.792,40,kPa-ms
hemispherical,imperial,incident_impulse,1,U,0,0.832468843,0.17,2.41,psi-ms
hemispherical,imperial,incident_impulse,1,U,1,3.076032967,0.17,2.41,psi-ms
hemispherical,metric,incident_impulse,1,U,0,2.06761908721000,0.0674,0.955,kPa-ms
hemispherical,metric,incident_impulse,1,U,1,3.07603296660000,0.0674,0.955,kPa-ms
hemispherical,imperial,incident_impulse,2,U,0,-2.913586168,2.41,100,psi-ms
hemispherical,imperial,incident_impulse,2,U,1,2.406977454,2.41,100,psi-ms
hemispherical,metric,incident_impulse,2,U,0,-1.94708846747000,0.955,40,kPa-ms
hemispherical,metric,incident_impulse,2,U,1,2.40697745406000,0.955,40,kPa-ms
free_air,imperial,incident_impulse,1,Y,5,-0.080922862,0.134,100,psi-ms
free_air,imperial,incident_impulse,1,Y,0,1.435341365,0.134,2,psi-ms
free_air,metric,incident_impulse,1,Y,5,-0.080922862,0.0531,40,kPa-ms
free_air,metric,incident_impulse,1,Y,0,2.388305168,0.0531,0.792,kPa-ms
free_air,imperial,incident_impulse,1,Y,1,-0.443749378,0.134,2,psi-ms
free_air,imperial,incident_impulse,1,Y,2,0.168825415,0.134,2,psi-ms
free_air,metric,incident_impulse,1,Y,1,-0.443749378,0.0531,0.792,kPa-ms
free_air,metric,incident_impulse,1,Y,2,0.168825415,0.0531,0.792,kPa-ms
free_air,imperial,incident_impulse,1,Y,3,0.034813803,0.134,2,psi-ms
free_air,imperial,incident_impulse,1,Y,4,-0.010435193,0.134,2,psi-ms
free_air,metric,incident_impulse,1,Y,3,0.034813803,0.0531,0.792,kPa-ms
free_air,metric,incident_impulse,1,Y,4,-0.010435193,0.0531,0.792,kPa-ms
free_air,imperial,incident_impulse,2,Y,0,0.599008468,2,100,psi-ms
free_air,imperial,incident_impulse,2,Y,1,-0.404632921,2,100,psi-ms
free_air,metric,incident_impulse,2,Y,0,1.551972271,0.792,40,kPa-ms
free_air,metric,incident_impulse,2,Y,1,-0.404632921,0.792,40,kPa-ms
free_air,imperial,incident_impulse,2,Y,2,-0.014272195,2,100,psi-ms
free_air,imperial,incident_impulse,2,Y,3,0.009123663,2,100,psi-ms
free_air,metric,incident_impulse,2,Y,2,-0.014272195,0.792,40,kPa-ms
free_air,metric,incident_impulse,2,Y,3,0.009123663,0.792,40,kPa-ms
free_air,imperial,incident_impulse,2,Y,4,-0.000675068,2,100,psi-ms
free_air,imperial,incident_impulse,2,Y,5,-0.008008637,2,100,psi-ms
free_air,imperial,incident_impulse,2,Y,6,0.003148195,2,100,psi-ms
free_air,imperial,incident_impulse,2,Y,7,0.001520448,2,100,psi-ms
free_air,imperial,incident_impulse,2,Y,8,-0.000747027,2,100,psi-ms
hemispherical,imperial,incident_impulse,1,Y,0,1.571592406,0.17,2.41,psi-ms
hemispherical,imperial,incident_impulse,1,Y,1,-0.502992764,0.17,2.41,psi-ms
hemispherical,imperial,incident_impulse,1,Y,2,0.171335645,0.17,2.41,psi-ms
hemispherical,imperial,incident_impulse,1,Y,3,0.045017696,0.17,2.41,psi-ms
free_air,metric,incident_impulse,2,Y,4,-0.000675068,0.792,40,kPa-ms
free_air,metric,incident_impulse,2,Y,5,-0.008008637,0.792,40,kPa-ms
free_air,metric,incident_impulse,2,Y,6,0.003148195,0.792,40,kPa-ms
free_air,metric,incident_impulse,2,Y,7,0.001520448,0.792,40,kPa-ms
free_air,metric,incident_impulse,2,Y,8,-0.000747027,0.792,40,kPa-ms
hemispherical,metric,incident_impulse,1,Y,0,2.52455620925000,0.0674,0.955,kPa-ms
hemispherical,metric,incident_impulse,1,Y,1,-0.50299276368600,0.0674,0.955,kPa-ms
hemispherical,metric,incident_impulse,1,Y,2,0.17133564523500,0.0674,0.955,kPa-ms
hemispherical,metric,incident_impulse,1,Y,3,0.04501769630510,0.0674,0.955,kPa-ms
hemispherical,imperial,incident_impulse,1,Y,4,-0.011896463,0.17,2.41,psi-ms
hemispherical,imperial,incident_impulse,2,Y,0,0.719852656,2.41,100,psi-ms
hemispherical,imperial,incident_impulse,2,Y,1,-0.384519027,2.41,100,psi-ms
hemispherical,imperial,incident_impulse,2,Y,2,-0.026081671,2.41,100,psi-ms
hemispherical,imperial,incident_impulse,2,Y,3,0.005957988,2.41,100,psi-ms
hemispherical,metric,incident_impulse,1,Y,4,-0.01189646264020,0.0674,0.955,kPa-ms
hemispherical,metric,incident_impulse,2,Y,0,1.67231644586300,0.955,40,kPa-ms
hemispherical,metric,incident_impulse,2,Y,1,-0.38451902696500,0.955,40,kPa-ms
hemispherical,metric,incident_impulse,2,Y,2,-0.02608167063010,0.955,40,kPa-ms
hemispherical,metric,incident_impulse,2,Y,3,0.00595798753822,0.955,40,kPa-ms
hemispherical,imperial,incident_impulse,2,Y,4,0.014544526,2.41,100,psi-ms
hemispherical,imperial,incident_impulse,2,Y,5,-0.006632893,2.41,100,psi-ms
hemispherical,imperial,incident_impulse,2,Y,6,-0.002841893,2.41,100,psi-ms
hemispherical,imperial,incident_impulse,2,Y,7,0.001364482,2.41,100,psi-ms
free_air,imperial,incident_pressure,1,U,0,-0.756579302,0.134,100,psi
free_air,imperial,incident_pressure,1,U,1,1.3503425,0.134,100,psi
hemispherical,imperial,incident_pressure,1,U,0,-0.756579302,0.134,100,psi
hemispherical,imperial,incident_pressure,1,U,1,1.3503425,0.134,100,psi
free_air,imperial,incident_pressure,1,Y,0,1.772849705,0.134,100,psi
hemispherical,metric,incident_impulse,2,Y,4,0.01454452610700,0.955,40,kPa-ms
hemispherical,metric,incident_impulse,2,Y,5,-0.00663289334734,0.955,40,kPa-ms
hemispherical,metric,incident_impulse,2,Y,6,-0.00284189327204,0.955,40,kPa-ms
hemispherical,metric,incident_impulse,2,Y,7,0.00136448162270,0.955,40,kPa-ms
free_air,metric,incident_pressure,1,U,0,-0.214362789,0.0531,40,kPa
free_air,metric,incident_pressure,1,U,1,1.3503425,0.0531,40,kPa
hemispherical,metric,incident_pressure,1,U,0,-0.21436278915100,0.0531,40,kPa
hemispherical,metric,incident_pressure,1,U,1,1.35034249993000,0.0531,40,kPa
free_air,metric,incident_pressure,1,Y,0,2.611368669,0.0531,40,kPa
free_air,imperial,incident_pressure,1,Y,1,-1.690128014,0.134,100,psi
free_air,imperial,incident_pressure,1,Y,2,0.008049736,0.134,100,psi
free_air,imperial,incident_pressure,1,Y,3,0.336743115,0.134,100,psi
free_air,imperial,incident_pressure,1,Y,4,-0.005162264,0.134,100,psi
free_air,imperial,incident_pressure,1,Y,6,-0.004785073,0.134,100,psi
free_air,imperial,incident_pressure,1,Y,7,0.007930305,0.134,100,psi
free_air,imperial,incident_pressure,1,Y,8,0.000768447,0.134,100,psi
hemispherical,imperial,incident_pressure,1,Y,0,1.942250201,0.17,100,psi
hemispherical,imperial,incident_pressure,1,Y,1,-1.695898874,0.17,100,psi
hemispherical,imperial,incident_pressure,1,Y,2,-0.154159377,0.17,100,psi
free_air,metric,incident_pressure,1,Y,1,-1.690128014,0.0531,40,kPa
free_air,metric,incident_pressure,1,Y,2,0.008049736,0.0531,40,kPa
free_air,metric,incident_pressure,1,Y,3,0.336743115,0.0531,40,kPa
free_air,metric,incident_pressure,1,Y,4,-0.005162264,0.0531,40,kPa
free_air,metric,incident_pressure,1,Y,6,-0.004785073,0.0531,40,kPa
free_air,metric,incident_pressure,1,Y,7,0.007930305,0.0531,40,kPa
free_air,metric,incident_pressure,1,Y,8,0.000768447,0.0531,40,kPa
hemispherical,metric,incident_pressure,1,Y,0,2.78076916577000,0.0674,40,kPa
hemispherical,metric,incident_pressure,1,Y,1,-1.69589887410000,0.0674,40,kPa
hemispherical,metric,incident_pressure,1,Y,2,-0.15415937684600,0.0674,40,kPa
hemispherical,imperial,incident_pressure,1,Y,3,0.514060731,0.17,100,psi
hemispherical,imperial,incident_pressure,1,Y,4,0.098853437,0.17,100,psi
hemispherical,imperial,incident_pressure,1,Y,5,-0.293912623,0.17,100,psi
hemispherical,imperial,incident_pressure,1,Y,6,-0.026811235,0.17,100,psi
hemispherical,metric,incident_pressure,1,Y,3,0.51406073059300,0.0674,40,kPa
hemispherical,metric,incident_pressure,1,Y,4,0.09885343652740,0.0674,40,kPa
hemispherical,metric,incident_pressure,1,Y,5,-0.29391262303800,0.0674,40,kPa
hemispherical,metric,incident_pressure,1,Y,6,-0.02681123450190,0.0674,40,kPa
hemispherical,imperial,incident_pressure,1,Y,7,0.109097496,0.17,100,psi
hemispherical,imperial,incident_pressure,1,Y,8,0.001628468,0.17,100,psi
hemispherical,imperial,incident_pressure,1,Y,9,-0.021463103,0.17,100,psi
hemispherical,imperial,incident_pressure,1,Y,10,0.000145672,0.17,100,psi
hemispherical,imperial,incident_pressure,1,Y,11,0.001678478,0.17,100,psi
free_air,imperial,positive_phase_duration,1,U,0,0.20944006,0.37,2.24,ms
free_air,imperial,positive_phase_duration,1,U,1,5.115885543,0.37,2.24,ms
free_air,imperial,positive_phase_duration,2,U,0,-5.067784938,2.24,5.75,ms
free_air,imperial,positive_phase_duration,2,U,1,9.299628861,2.24,5.75,ms
free_air,imperial,positive_phase_duration,3,U,0,-4.395901341,5.75,100,ms
free_air,imperial,positive_phase_duration,3,U,1,3.152472536,5.75,100,ms
hemispherical,imperial,positive_phase_duration,1,U,0,-0.179021705,0.45,2.54,ms
hemispherical,imperial,positive_phase_duration,1,U,1,5.250991939,0.45,2.54,ms
hemispherical,imperial,positive_phase_duration,2,U,0,-5.859098123,2.54,7,ms
hemispherical,metric,incident_pressure,1,Y,7,0.10909749642100,0.0674,40,kPa
hemispherical,metric,incident_pressure,1,Y,8,0.00162846756311,0.0674,40,kPa
hemispherical,metric,incident_pressure,1,Y,9,-0.02146310302420,0.0674,40,kPa
hemispherical,metric,incident_pressure,1,Y,10,0.00014567233820,0.0674,40,kPa
hemispherical,metric,incident_pressure,1,Y,11,0.00167847752277,0.0674,40,kPa
free_air,metric,positive_phase_duration,1,U,0,2.263672685,0.147,0.888,ms
free_air,metric,positive_phase_duration,1,U,1,5.115885543,0.147,0.888,ms
free_air,metric,positive_phase_duration,2,U,0,-1.333612067,0.888,2.28,ms
free_air,metric,positive_phase_duration,2,U,1,9.299628861,0.888,2.28,ms
free_air,metric,positive_phase_duration,3,U,0,-3.130058053,2.28,40,ms
free_air,metric,positive_phase_duration,3,U,1,3.152472536,2.28,40,ms
hemispherical,metric,positive_phase_duration,1,U,0,1.92946154068000,0.178,1.01,ms
hemispherical,metric,positive_phase_duration,1,U,1,5.25099193925000,0.178,1.01,ms
hemispherical,metric,positive_phase_duration,2,U,0,-2.12492525216000,1.01,2.78,ms
hemispherical,imperial,positive_phase_duration,2,U,1,9.299628861,2.54,7,ms
hemispherical,imperial,positive_phase_duration,3,U,0,-4.926994911,7,100,ms
hemispherical,imperial,positive_phase_duration,3,U,1,3.463497456,7,100,ms
free_air,imperial,positive_phase_duration,1,Y,0,-0.801052723,0.37,2.24,ms
free_air,imperial,positive_phase_duration,1,Y,1,0.164953518,0.37,2.24,ms
free_air,imperial,positive_phase_duration,1,Y,2,0.127788499,0.37,2.24,ms
free_air,imperial,positive_phase_duration,1,Y,3,0.002914301,0.37,2.24,ms
free_air,imperial,positive_phase_duration,1,Y,4,0.001879574,0.37,2.24,ms
hemispherical,metric,positive_phase_duration,2,U,1,9.29962886110000,1.01,2.78,ms
hemispherical,metric,positive_phase_duration,3,U,0,-3.53626218091000,2.78,40,ms
hemispherical,metric,positive_phase_duration,3,U,1,3.46349745571000,2.78,40,ms
free_air,metric,positive_phase_duration,1,Y,0,-0.68660855,0.147,0.888,ms
free_air,metric,positive_phase_duration,1,Y,1,0.164953518,0.147,0.888,ms
free_air,metric,positive_phase_duration,1,Y,2,0.127788499,0.147,0.888,ms
free_air,metric,positive_phase_duration,1,Y,3,0.002914301,0.147,0.888,ms
free_air,metric,positive_phase_duration,1,Y,4,0.001879574,0.147,0.888,ms
free_air,imperial,positive_phase_duration,1,Y,5,0.017341396,0.37,2.24,ms
free_air,imperial,positive_phase_duration,1,Y,6,0.002697398,0.37,2.24,ms
free_air,imperial,positive_phase_duration,1,Y,7,-0.003619765,0.37,2.24,ms
free_air,imperial,positive_phase_duration,1,Y,8,-0.001009266,0.37,2.24,ms
free_air,imperial,positive_phase_duration,2,Y,0,0.115874238,2.24,5.75,ms
free_air,imperial,positive_phase_duration,2,Y,1,-0.029794427,2.24,5.75,ms
free_air,imperial,positive_phase_duration,2,Y,2,0.030632954,2.24,5.75,ms
free_air,imperial,positive_phase_duration,2,Y,3,0.018340557,2.24,5.75,ms
free_air,imperial,positive_phase_duration,2,Y,4,-0.017396467,2.24,5.75,ms
free_air,metric,positive_phase_duration,1,Y,5,0.017341396,0.147,0.888,ms
free_air,metric,positive_phase_duration,1,Y,6,0.002697398,0.147,0.888,ms
free_air,metric,positive_phase_duration,1,Y,7,-0.003619765,0.147,0.888,ms
free_air,metric,positive_phase_duration,1,Y,8,-0.001009266,0.147,0.888,ms
free_air,metric,positive_phase_duration,2,Y,0,0.230318411,0.888,2.28,ms
free_air,metric,positive_phase_duration,2,Y,1,-0.029794427,0.888,2.28,ms
free_air,metric,positive_phase_duration,2,Y,2,0.030632954,0.888,2.28,ms
free_air,metric,positive_phase_duration,2,Y,3,0.018340557,0.888,2.28,ms
free_air,metric,positive_phase_duration,2,Y,4,-0.017396467,0.888,2.28,ms
free_air,imperial,positive_phase_duration,2,Y,5,-0.00106322,2.24,5.75,ms
free_air,imperial,positive_phase_duration,2,Y,6,0.0056206,2.24,5.75,ms
free_air,imperial,positive_phase_duration,2,Y,7,0.000161822,2.24,5.75,ms
